id,name,slug,value,product_id
146,accessories,accessories,"Manual*1, USB cable*1, Charger*1, Lithium battery*1, Remote control*1, Lens cover*1, Glasses Cloth*1 , DV bag*1",15
147,angle-expansion-multiple,angle-expansion-multiple,1.35X,16
148,number-of-lens-groups,number-of-lens-groups,2 pieces 2 groups,16
149,connection-method,connection-method,52mm thread,16
150,focusing-mode,focusing-mode,Fixed focus,16
151,big-view-angle,big-view-angle,94-118 degree,16
152,front-thread-interface-size,front-thread-interface-size,62mm,16
153,distancefrom-macro-lens-to-object,distancefrom-macro-lens-to-object,80-100mm,16
154,accessories,accessories,User manual; Piece of cloth；One cloth bag,16
155,prodcut-sizeweight,prodcut-sizeweight,Ф64x40mm ; 150g(without removable eye mask),16
156,image-resolution,image-resolution,"The main camera: 13 million pixels,
The selfie camera: 8 million pixels.",17
157,video-resolution,video-resolution,1920×1080,17
158,front-image-sensor,front-image-sensor,13 megapixel CMOS sensor IMX135,17
159,rear-selfie-image-sensor,rear-selfie-image-sensor,8 megapixel CMOS sensor IMX219,17
160,display-screen,display-screen,4.0-inch 800×480 IPS HD touch display,17
161,usb,usb,Type-C USB,17
163,battery-capacity,battery-capacity,2000mAh 3.7V Rechargeable lithium battery,17
164,language,language,Multiple national languages,17
165,accessories-for-camcorder,accessories-for-camcorder,"One User's manual,One USB cable,One charger, One Camera bag, One Cleaning Cloth, One Carrying Strap",17
166,image-resolution,image-resolution,2M: 1600*1200 3M:2048*1536 5M: 2592*1944 7M: 3072*2304 10M:3648*2736 12M:4000*3000 16M:4608*3456 20M:5200*3900 24M:5600*4200 36M:6912*5184 44M:7600*5800 48M:8000*6000 64M:9248*6936,18
167,video-resolution,video-resolution,4K ULTRA HD -10FPS ；2.7K-30FPS ； FULL HD-30FPS ；HD-30FPS ； VGA-30FPS,18
168,display-screen,display-screen,"Rear Display Screen：2.8-inch, 640*480 IPS Display ；Front Display Screen：1.7-inch, 240*280 IPS Display",18
169,usb,usb,MicroUSB,18
170,expanded-memory-card,expanded-memory-card,"TF Card Slot (MAX 256GB), Support SDHC 6",18
171,battery-capacity,battery-capacity,Built-in Chargable Lithium Battery 700mAh,18
172,zoom,zoom,16X Digital Zoom,18
173,language,language,English/Simplified Chinese/Traditional/Chinese/Japanese/Korean/Russian/French/German/Czech/Portuguese/Polish/Dutch/Turkish/Thai,18
174,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1, Wiping Cloth*1, Camera lanyard*1, Micro USB cable*1, NP-6L Battery*1, S531 Charger*1",18
175,image-resolution,image-resolution,Memory options: 64M/48M/36M/20M/16M,19
176,video-resolution,video-resolution,4K 60、4K30、1080P120、1080P60、1080P30,19
177,control-system,control-system,Image sensor used: Sigmastar MSC357,19
178,lens-module,lens-module,Sony IMX376 20-megapixel 150° wide-angle lens.,19
179,display-screen,display-screen,Front color screen ：1.5-inch IPS HD display ； Rear main screen ：2.0-inch IPS touchscreen,19
180,usb,usb,Type-C USB,19
181,expanded-memory-card,expanded-memory-card,Maximum supported Micro SD card speed: 128G U3 and above,19
182,battery-capacity,battery-capacity,Available in two capacities: 1050mAh and 1350mAh Removable and rechargeable lithium battery;,19
183,zoom,zoom,8x digital zoom is supported.,19
184,language,language,Supports operation in multiple languages.,19
185,image-resolution,image-resolution,64M; 48M; 36M; 24M; 20M; 16M; 12M; 8M,20
186,video-resolution,video-resolution,5K25fps；4K30fps；2.7K30fps；1080P60fps；1080P30fps；720P60fps,20
187,front-image-sensor,front-image-sensor,8 megapixel CMOS sensor (up to 64MP interpolation)；1/2.8 inch,20
188,rear-image-sensor,rear-image-sensor,13 megapixel CMOS sensor (up to 64MP interpolation)；1/3.06 inch,20
189,display-screen,display-screen,3.6 inch 720*1280 IPS HD,20
190,usb,usb,Type-C USB,20
191,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),20
192,battery-capacity,battery-capacity,"1350mAh/3.8V, Rechargeable Lithium Battery",20
193,accessories-for-camcorder,accessories-for-camcorder,"""Battery*1, Data Cable*1, HD Cable*1, Stand Charger*1,
Charging Head*1, Lens cloth *1, Wrist strap *1, Cloth bag *1, Shoulder strap *1, Lens cap *1, Manual *1""",20
194,image-resolution,image-resolution,"""64M(10666*6000); 48M(8800*5500); 36M(7952*4472); 24M(6544*3680); 20M(5888*3312); 16M(5376*3024); 12M(4608*2592); """,21
195,video-resolution,video-resolution,"""5K 25fps(5120*2160); 4K 60fps(3840*2160); 4K 30fps(3840*2160); 2.7K 60fps(2704*1520); 2.7K 30fps(2704*1520); FHD P60(1920*1080);
FHD P30(1920*1080); HD P60 720*1280""",21
196,front-image-sensor,front-image-sensor,48 megapixel CMOS sensor,21
197,rear-selfie-image-sensor,rear-selfie-image-sensor,13 megapixel CMOS sensor,21
198,display-screen,display-screen,3.6 inches 720*1280 IPS high-definition,21
199,usb,usb,Type-C USB,21
200,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),21
201,battery-capacity,battery-capacity,1350mAh 3.8V Rechargeable Lithium Battery,21
202,language,language,"""English, French, Spanish,Portuguese, German, Italian, Simplified Chinese,Traditional Chinese, Russian, Japanese""",21
203,accessories-for-camcorder,accessories-for-camcorder,"User's Manual*1, HD Cable*1,USB Cable*1, Lithium Battery*1, Lanyard*1, Glasses Cloth*1, Camera Bag*1",21
204,image-resolution,image-resolution,"""88M(10848 X 8136); 80M(10336 X 7752);72M(9824 X 7368); 64M(9248 X 6936); 56M(8640 X 6480); 48M(8000 X 6000); 36M(6880 X 5160); 24M(5600 X 4200); 20M(5120 X 3840); 16M(4640 X 3480); 12M(4032 X 3024); 8M(3264 X 2448); 5M(2592 X 1944)""",22
205,video-resolution,video-resolution,"""8K(7680X4320) 15FPS; 6K(5760X3240) 30FPS; 5K(5120X2880) 30FPS; 4K(3840X2160) 30FPS; 2.7K(2688X1512) 30FPS; 1080P(1920X1080) 60FPS; 1080P(1920X1080) 30FPS; 720P(1280X720) 60FPS; 720P(1280X720) 30FPS""",22
206,front-image-sensor,front-image-sensor,48 megapixel CMOS sensor IMX586,22
207,rear-selfie-image-sensor,rear-selfie-image-sensor,12M image sensor IMX386,22
208,display-screen,display-screen,3.2 inch 1024*768 IPS HD touch screen display,22
209,usb,usb,Type-C USB,22
210,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),22
211,battery-capacity,battery-capacity,1220mAh 3.7V Rechargeable lithium battery,22
212,zoom,zoom,Max 16x Digital Zoom,22
213,language,language,"""English,Simplified Chinese,Traditional Chinese,Japanese,Korean,French,German,Italian,Spanish,Portuguese,Russian,Polish ,Vietnamese""",22
214,accessories-for-camcorder,accessories-for-camcorder,"""User's manual*1, USB cable*1, HDMI cable*1, Charger *1, Camera Bag*1, NP-80 Lithium battery*1, Lens Cleaning Cloth *1​，Camera Strap *1​，""",22
215,image-resolution,image-resolution,64M(9248×6936)；56M(8640×6480)；48M(8000×6000)；36M(6880×5160)；24M(5600×4200)；20M(5120×3840) ；16M(4640×3480)；12M(4032×3024)； 8M(3264×2448)； 5M(2592×1944),23
